feature,min_mz,max_mz,min_rt,max_rt,mean_mz,feat_class
FT0001,60.04506425632,60.0452143691683,1167.90710449219,1294.87976074219,60.045139312744155,Bad
FT0002,60.0644238207436,60.0645739819908,365.836761474609,450.500762939453,60.0644989013672,Bad
FT0003,60.0644123766661,60.0645625378847,532.788940429688,628.182922363281,60.0644874572754,Good
FT0004,60.0643844604492,60.0645866394043,4.75743007659912,100.198448181152,60.064485549926744,Bad
FT0005,60.0644171450317,60.0645673062623,446.888000488281,517.870524,60.064492225647,Bad
FT0006,60.0643920898438,60.064567565918,191.874267578125,272.094146728516,60.0644798278809,Bad
FT0007,60.0644104693198,60.064582824707,95.8988647460938,159.91911315918,60.0644966470134,Bad
FT0008,60.0644035339355,60.064567565918,310.26611328125,384.492828369141,60.064485549926744,Bad
FT0009,60.0643999789155,60.0645523071289,242.744736,310.86165,60.064476143022205,Bad
FT0010,60.0644324038017,60.0645825650704,631.347045898438,730.09765625,60.06450748443605,Bad
FT0011,60.0643997192383,60.0645790100098,152.572891235352,203.511962890625,60.06448936462405,Bad
FT0012,61.0403194361997,61.040472037189,216.408676147461,315.424560546875,61.04039573669435,Meh
FT0013,61.0403289729309,61.0404815739441,444.269409179688,520.6982421875,61.0404052734375,Bad
FT0014,62.0607086712706,62.0608825683594,520.626525878906,693.686950683594,62.060795619815,Bad
FT0015,62.0607096249437,62.0608825683594,663.025268554688,796.080383300781,62.06079609665155,Bad
FT0016,62.0606867367888,62.0608418886995,4.55470561981201,112.097366333008,62.060764312744155,Bad
FT0017,62.0606876904619,62.060842842375,108.589782714844,157.672760009766,62.06076526641845,Bad
FT0018,62.9823803402245,62.9825553894043,1162.54467773438,1297.15307617188,62.9824678648144,Bad
FT0019,62.9823837280273,62.9825425647497,1097.01171875,1242.24133300781,62.9824631463885,Bad
FT0020,62.9823965526676,62.9825540088558,1.59304392337799,136.504165649414,62.982475280761705,Bad
FT0021,62.9823965526676,62.9825540088558,281.658996582031,387.469085693359,62.982475280761705,Bad
FT0022,62.9823875427246,62.9825482868028,175.126861572266,258.534729003906,62.9824679147637,Bad
FT0023,62.9823946453214,62.9825521015048,211.4140625,297.006042480469,62.9824733734131,Bad
FT0024,62.9823908306289,62.9825482868028,131.858596801758,217.187561035156,62.98246955871585,Bad
FT0025,62.9823608398438,62.9825540088558,355.861633300781,457.548645019531,62.9824574243498,Bad
FT0026,62.9823837280273,62.9825630187988,420.506744384766,501.996612548828,62.98247337341305,Bad
FT0027,62.9823913574219,62.9825592041016,1082.47436523438,1190.61694335938,62.98247528076175,Bad
FT0028,62.9823860622633,62.9825435184252,42.6939163208008,142.810256958008,62.98246479034425,Bad
FT0029,62.9823837280273,62.9825416110742,269.789367675781,330.126159667969,62.98246266955075,Bad
FT0030,62.9823760986328,62.9825973510742,817.311462402344,959.930480957031,62.9824867248535,Bad
FT0031,62.9824003673601,62.9825706481934,810.258605957031,886.23486328125,62.98248550777675,Bad
FT0032,62.9823913574219,62.982593536377,918.275024414062,1027.55932617188,62.98249244689946,Bad
FT0033,62.9823684692383,62.9825782775879,995.875061035156,1101.22937011719,62.9824733734131,Bad
FT0034,64.0164185450506,64.0166320800781,1208.02026367188,1297.15307617188,64.01652531256434,Bad
FT0035,64.0164184570312,64.0165786743164,1151.33544921875,1250.67993164062,64.0164985656738,Bad
FT0036,64.0164280817819,64.0165881230521,6.75807476043701,81.6664886474609,64.01650810241699,Bad
FT0037,64.0164489746094,64.0166167333174,567.666320800781,610.408996582031,64.01653285396341,Bad
FT0038,64.0164032862806,64.0165633274889,1115.34704589844,1186.17834472656,64.01648330688475,Bad
FT0039,64.0163879394531,64.0165633274889,797.170776367188,873.598083496094,64.016475633471,Bad
FT0040,64.0164184570312,64.0166244506836,744.607177734375,822.155395507812,64.0165214538574,Bad
FT0041,64.0164031982422,64.0165633274889,851.961608886719,951.424682617188,64.01648326286555,Bad
FT0042,70.0657350190401,70.0659101835966,416.179534912109,518.092407226562,70.06582260131836,Good
FT0043,70.0657272338867,70.0659408569336,0.322227567434311,70.9306335449219,70.06583404541016,Bad
FT0044,70.0657331116939,70.0659082762456,545.236999511719,631.983825683594,70.06582069396975,Bad
FT0045,70.0657407410789,70.06591796875,613.891784667969,706.104064941406,70.06582935491446,Bad
FT0046,70.0657501220703,70.0659292571068,350.502319335938,392.239166259766,70.06583968958856,Bad
FT0047,70.0657273896551,70.0659025541925,942.314514160156,993.046447753906,70.0658149719238,Bad
FT0048,70.0657235749626,70.0659255981445,282.554229736328,321.340026855469,70.06582458655356,Bad
FT0049,70.0657159455776,70.0658911100864,838.46923828125,894.819946289062,70.065803527832,Bad
FT0050,70.0656987794614,70.0658739439273,515.217956542969,555.530151367188,70.06578636169435,Bad
FT0051,70.0656949647689,70.0658701292253,45.7491836547852,89.0850982666016,70.0657825469971,Bad
FT0052,70.0657083161926,70.0658834806824,183.339202880859,230.364822387695,70.0657958984375,Bad
FT0053,70.0657121308851,70.0658872953844,672.951904296875,751.455200195312,70.06579971313475,Bad
FT0054,71.0496978759766,71.0499038696289,0.322227558,39.4589576721191,71.04980087280276,Bad
FT0055,72.0813751220703,72.0817794799805,0.322227558,110.93376159668,72.08157730102539,Bad
FT0056,72.0813613142014,72.08154296875,387.727264404297,467.07861328125,72.0814521414757,Good
FT0057,72.0813460554314,72.0815582275391,265.191101074219,369.983734130859,72.08145214148524,Stans only
FT0058,72.0813555921626,72.0815505981445,96.280344,250.695877075195,72.08145309515355,Bad
FT0059,72.0813598632812,72.081556776638,545.236999511719,663.90283203125,72.0814583199596,Bad
FT0060,72.0813460554314,72.0815262590218,43.9334564208984,123.739486694336,72.08143615722659,Bad
FT0061,72.0813708509326,72.0815734863281,1137.31652832031,1226.69921875,72.08147216863034,Bad
